iter	TotalF1	MultiClass
0	0.8160587088	1.288801226
1	0.8282388636	1.205914755
2	0.8291678783	1.137848329
3	0.8284463425	1.07444336
4	0.8311336175	1.018580552
5	0.8324107574	0.9690079467
6	0.8322905059	0.926024743
7	0.8316048814	0.8843617399
8	0.8329917799	0.8485624948
9	0.8338348818	0.81559288
10	0.8371301402	0.7841053331
11	0.838282187	0.7546071093
12	0.838413338	0.7294728416
13	0.839561504	0.7053057843
14	0.8438166296	0.6821387675
15	0.8447321537	0.6606083289
16	0.8452551874	0.6416373844
17	0.8455153954	0.6231996923
18	0.8458082859	0.6064432595
19	0.8458865548	0.5900441526
20	0.8466331859	0.5751943568
21	0.8477640652	0.5619063425
22	0.8549564963	0.5485529175
23	0.8480667689	0.5366619579
24	0.8561446924	0.5248194335
25	0.8575920421	0.5133199252
26	0.8584782957	0.5032760246
27	0.8587672372	0.4925639714
28	0.8583342138	0.4837145076
29	0.8595154286	0.4743009252
30	0.8595793007	0.4659326332
31	0.8598751354	0.4578215249
32	0.86171746	0.4507834354
33	0.8620996979	0.4427082293
34	0.8623920555	0.4360888938
35	0.8625256298	0.4301861598
36	0.8623671897	0.4243742089
37	0.8626631319	0.4191054216
38	0.8631273395	0.4135858518
39	0.8708419579	0.4088714202
40	0.8721480933	0.4042915105
41	0.8726924795	0.3992656877
42	0.8734908927	0.3947422301
43	0.8738026031	0.390323678
44	0.8750664234	0.3861640343
45	0.8808138913	0.3826437182
46	0.8809560159	0.3795690606
47	0.8820910692	0.3754253928
48	0.8827364009	0.3715669185
49	0.8831083724	0.3682544198
50	0.8836542502	0.3647854289
51	0.8867421001	0.3617484865
52	0.8872158096	0.3582572159
53	0.8885341772	0.3557993006
54	0.8906519986	0.3537212808
55	0.890677765	0.3506684999
56	0.8928051316	0.3488230377
57	0.8927107084	0.3458676544
58	0.8923107116	0.3437628259
59	0.8933210732	0.341486917
60	0.8943345565	0.3392017798
61	0.8948808793	0.3361500841
62	0.8954163926	0.332639977
63	0.8966212151	0.3309449859
64	0.8971221581	0.3284210565
65	0.897694146	0.3259911788
66	0.8985567178	0.3243092949
67	0.8991479088	0.3226155866
68	0.8994318241	0.3209153489
69	0.8995185454	0.3185569446
70	0.9002240869	0.3164222222
71	0.9005976969	0.3140496235
72	0.9014988456	0.3113846037
73	0.9012440583	0.3104255979
74	0.9015635598	0.3088511989
75	0.9019545835	0.3077124619
76	0.902612722	0.3060071161
77	0.9030255683	0.3042272766
78	0.9036815031	0.3015574863
79	0.9051325575	0.2993259967
80	0.9055982777	0.2975197665
81	0.905928351	0.2961467292
82	0.9061822616	0.2945880331
83	0.9064005196	0.2938355548
84	0.907198926	0.2915373788
85	0.9078607327	0.2904661406
86	0.9080129387	0.2894056293
87	0.9084327798	0.2878248817
88	0.9088583173	0.287110822
89	0.9093471018	0.285624246
90	0.9096156041	0.2845505779
91	0.909799842	0.2827661838
92	0.9104414761	0.2814159415
93	0.9111852243	0.2794935108
94	0.9114603076	0.2779767033
95	0.9114419614	0.2770584693
96	0.9119669991	0.2759467703
97	0.9119078902	0.2743929523
98	0.9125612112	0.2732165928
99	0.9123636511	0.2724712508
100	0.9126007557	0.2715503687
101	0.913065889	0.2708179965
102	0.9133811459	0.2694435705
103	0.9135134095	0.2680445892
104	0.9134122402	0.2674222122
105	0.913686031	0.2664197147
106	0.913944659	0.2659253177
107	0.9149107625	0.2640016887
108	0.915425423	0.2624649103
109	0.9157606509	0.2608714522
110	0.9161507577	0.2601915572
111	0.9163537141	0.2595729909
112	0.9173327169	0.2587291712
113	0.9184983655	0.2578437934
114	0.9184317691	0.2568530117
115	0.918631453	0.2561270818
116	0.9180046274	0.25565415
117	0.9189903115	0.2549893747
118	0.9192246848	0.2546367086
119	0.9194213441	0.2540015174
120	0.9204120497	0.2531766317
121	0.9212628034	0.2515680957
122	0.9220285817	0.2501346455
123	0.9222598792	0.2490706709
124	0.9225525548	0.2483027079
125	0.9228527942	0.2474060873
126	0.9230747742	0.2469764519
127	0.9235726278	0.2460187156
128	0.9237616382	0.2454034316
129	0.9242609135	0.2444270149
130	0.9246523168	0.243505291
131	0.9253390883	0.2428892867
132	0.9256600103	0.2417021948
133	0.9258070679	0.2411609807
134	0.9261733424	0.2409294008
135	0.9264147025	0.2400902736
136	0.9265336504	0.2395630056
137	0.9266445697	0.2389043005
138	0.927364301	0.2375251384
139	0.9275260373	0.2365526024
140	0.9276716606	0.2362433173
141	0.9281794688	0.2354460736
142	0.928831385	0.2349398539
143	0.9289269629	0.2345597997
144	0.929138714	0.2336060255
145	0.9295625868	0.2324808689
146	0.9304258707	0.2311634325
147	0.9304384465	0.2309043433
148	0.9313218857	0.2300000936
149	0.9320949211	0.2293853427
150	0.9321476469	0.2290054914
151	0.9325355665	0.2281308438
152	0.9335310232	0.2271628254
153	0.9342296691	0.2262677129
154	0.9349328993	0.2257000258
155	0.9351839712	0.2250272438
156	0.9357010924	0.2242084032
157	0.9361067967	0.2233180708
158	0.9368482684	0.2229403169
159	0.9367661225	0.2223850607
160	0.9370243068	0.2217910652
161	0.9375210503	0.2208094628
162	0.9375812965	0.2205236132
163	0.9379869971	0.2194987932
164	0.938483727	0.2184897623
165	0.9384843277	0.218271562
166	0.9387965918	0.217267763
167	0.9388673627	0.2165593684
168	0.939595787	0.2155379161
169	0.9404501794	0.2145614014
170	0.9405282305	0.2141854706
171	0.9413889456	0.2132961236
172	0.9414681046	0.2128872032
173	0.9414599594	0.212535456
174	0.9414925243	0.2120819188
175	0.9414948329	0.2118331308
176	0.9415697456	0.2114728737
177	0.941908253	0.2107022568
178	0.9420464307	0.2099594872
179	0.9424267767	0.2090536841
180	0.9429359778	0.2082790709
181	0.9429985947	0.2080485667
182	0.9430370672	0.2076021681
183	0.9432259844	0.2070191762
184	0.9432082522	0.2063071653
185	0.9438392063	0.2054929869
186	0.9445684721	0.2050030742
187	0.9447066145	0.2047147984
188	0.9449650792	0.2041861581
189	0.944955553	0.2035148604
190	0.9453072497	0.2026955173
191	0.9453116828	0.2024503364
192	0.9456489156	0.2016300294
193	0.9456593793	0.2011166368
194	0.9458597691	0.2003873916
195	0.9460752313	0.1995612235
196	0.9461975369	0.1991298294
197	0.9462649038	0.1985760539
198	0.9464459121	0.198183231
199	0.9466269413	0.197565398
200	0.9468919955	0.1971518721
201	0.9475128554	0.1964909945
202	0.9475277167	0.1962152465
203	0.9480178753	0.1956276645
204	0.9481041852	0.1950516518
205	0.948241167	0.1946029375
206	0.9483419091	0.1942601455
207	0.9484094836	0.1940020361
208	0.9486460514	0.1933133568
209	0.9489209567	0.1927364729
210	0.9489564372	0.1922389617
211	0.9488972455	0.1920605071
212	0.9490641745	0.1916663323
213	0.9491824533	0.191188723
214	0.9493323388	0.1906791617
215	0.9496433147	0.1899536316
216	0.9497837785	0.1895177686
217	0.9500475936	0.1887982461
218	0.9502300405	0.1884544291
219	0.9502608442	0.1880133147
220	0.9503806286	0.1875910663
221	0.9506244853	0.1870382138
222	0.9506997098	0.1867763806
223	0.950930561	0.1860127941
224	0.9508970458	0.1855910491
225	0.9509820063	0.1853577321
226	0.9511942665	0.1847661978
227	0.9515485789	0.1837463203
228	0.9516068243	0.1833833355
229	0.951806205	0.1827897283
230	0.9517685864	0.1825450831
231	0.9519117216	0.1819390448
232	0.9519507642	0.181682083
233	0.9519491541	0.1815595677
234	0.952166637	0.1812144565
235	0.9523700472	0.1807588016
236	0.9524261269	0.18033354
237	0.9524487315	0.1801114254
238	0.9527475282	0.1795598538
239	0.9529057046	0.1792486611
240	0.9530055542	0.1785325732
241	0.9530201727	0.1782852191
242	0.9532941065	0.1776787529
243	0.9533215959	0.1772167872
244	0.9534009174	0.1768072547
245	0.9534824903	0.1763630399
246	0.9536126994	0.1762199805
247	0.9537385584	0.1757001919
248	0.9540029367	0.1752923033
249	0.954227696	0.1750267237
250	0.9542626932	0.1748283918
251	0.9544619103	0.1742437713
252	0.9545225802	0.1739252832
253	0.9546419717	0.1734197857
254	0.9546967277	0.1731826098
255	0.9548118111	0.1726439801
256	0.9548484072	0.1724995479
257	0.9548809976	0.1722529089
258	0.9549445009	0.1719759362
259	0.9551397843	0.1714494185
260	0.9552449807	0.1710544617
261	0.9553072183	0.1704188288
262	0.9554929538	0.1698851079
263	0.9555256936	0.1696491128
264	0.9555638536	0.1692710469
265	0.9555729666	0.1690428571
266	0.9557431965	0.1685501581
267	0.9557523647	0.1680736506
268	0.9558403344	0.1678482895
269	0.9558815183	0.1674888024
270	0.9558767621	0.167211072
271	0.9560757245	0.1668418714
272	0.9561744789	0.166336753
273	0.9561783819	0.1661429494
274	0.956395307	0.1658172834
275	0.9564575087	0.1656277052
276	0.956578979	0.1652919255
277	0.9566300236	0.1647801803
278	0.9566590604	0.1645118748
279	0.9566793231	0.1643986867
280	0.956687583	0.164065734
281	0.9567744439	0.1637141819
282	0.9567859275	0.163561613
283	0.957037408	0.162971599
284	0.9570765523	0.1626857338
285	0.9571830746	0.1622749133
286	0.9572500919	0.1620406876
287	0.9574370705	0.161699098
288	0.9574348029	0.1616077177
289	0.9575058538	0.1614155336
290	0.9576811816	0.1610860257
291	0.9577314489	0.1607704659
292	0.9577813113	0.160394835
293	0.9578387659	0.1600783026
294	0.957883288	0.1598488563
295	0.9579309054	0.1594364079
296	0.9580938237	0.1591459388
297	0.9581101757	0.1590126383
298	0.9581819783	0.158541864
299	0.9582067532	0.1584416543
300	0.9582953998	0.1579930441
301	0.958298105	0.1577853626
302	0.9583003941	0.1576697792
303	0.9583727732	0.157344816
304	0.9584524778	0.157187625
305	0.9585287876	0.157002494
306	0.9586520889	0.1565619625
307	0.9587292419	0.156302512
308	0.9588369183	0.1560761484
309	0.9589364784	0.1554806143
310	0.958941311	0.1553926036
311	0.9591188569	0.1552980159
312	0.9592091711	0.1549700955
313	0.9592737234	0.1546106906
314	0.959306619	0.1544184924
315	0.9593271452	0.1538676686
316	0.9593631577	0.15358973
317	0.9594617578	0.1530787984
318	0.9596202229	0.1527088733
319	0.9596430166	0.1525663309
320	0.9597329321	0.1522440931
321	0.9597569949	0.1519899012
322	0.9597623719	0.151896729
323	0.9598857508	0.1513596325
324	0.9599554805	0.1511197719
325	0.9600060293	0.150789714
326	0.9600396245	0.1504509936
327	0.9600520691	0.1501727485
328	0.9600485212	0.1501054168
329	0.9601505316	0.1497588337
330	0.960192802	0.1494253375
331	0.9602333804	0.1491344593
332	0.9602587533	0.1489521423
333	0.9602919366	0.1488337583
334	0.9603672144	0.1485365393
335	0.960449787	0.1483736294
336	0.9604538983	0.1482426
337	0.960494293	0.1480789978
338	0.960523035	0.147823808
339	0.9605464366	0.1474483738
340	0.9607306246	0.1471793496
