iter	Passed	Remaining
0	1239	618723
1	2461	612921
2	3678	609341
3	4875	604602
4	6095	603459
5	7306	601563
6	8517	599842
7	9725	598100
8	10928	596205
9	12132	594488
10	13336	592863
11	14643	595522
12	16276	609736
13	17563	609689
14	18767	606831
15	20023	605711
16	21452	609499
17	22683	607404
18	23920	605557
19	25151	603641
20	26401	602211
21	27598	599644
22	28812	597552
23	30001	595034
24	31191	592629
25	32390	590502
26	33584	588355
27	34782	586325
28	35955	583974
29	37156	582110
30	38346	580150
31	39513	577878
32	40693	575872
33	41886	574091
34	43078	572325
35	44257	570424
36	45439	568606
37	46605	566626
38	47823	565302
39	49736	571973
40	51393	575352
41	52725	574955
42	54047	574414
43	55437	574529
44	56675	573048
45	57901	571461
46	59157	570178
47	60402	568793
48	61639	567333
49	62861	565753
50	64102	564351
51	65359	563097
52	66573	561475
53	67813	560087
54	69056	558733
55	70285	557260
56	71494	555647
57	72727	554234
58	73954	552780
59	75190	551394
60	76410	549904
61	77605	548243
62	78857	546998
63	80117	545800
64	81340	544354
65	82570	542962
66	83779	541437
67	85011	540073
68	86305	539094
69	87595	538089
70	88870	536976
71	90160	535954
72	91385	534542
73	92594	533045
74	93826	531681
75	95057	530322
76	96270	528865
77	97501	527506
78	98743	526215
79	99988	524939
80	101219	523589
81	102433	522160
82	103645	520723
83	104840	519209
84	106057	517811
85	107274	516412
86	108492	515026
87	109732	513746
88	110938	512310
89	112146	510890
90	113356	509481
91	114587	508170
92	115834	506931
93	117069	505639
94	118277	504235
95	119483	502825
96	120710	501508
97	121959	500280
98	123172	498912
99	124401	497604
100	125617	496250
101	126835	494906
102	128053	493564
103	129256	492167
104	130474	490834
105	131735	489658
106	132961	488354
107	134224	487183
108	135504	486075
109	136811	485057
110	138113	484020
111	139384	482866
112	140649	481691
113	141867	480357
114	143111	479111
115	144352	477857
116	145583	476568
117	146849	475392
118	148084	474120
119	149314	472829
120	150586	471670
121	151903	470651
122	153207	469586
123	154524	468557
124	155815	467445
125	157028	466100
126	158232	464731
127	159463	463439
128	160702	462176
129	161945	460922
130	163187	459666
131	164479	458548
132	165761	457402
133	166993	456116
134	168229	454841
135	169453	453536
136	170789	452531
137	172021	451245
138	173246	449942
139	174469	448634
140	175735	447440
141	176968	446160
142	178206	444892
143	179418	443561
144	180675	442343
145	181924	441104
146	183215	439966
147	184563	438961
148	185884	437888
149	187119	436612
150	188341	435306
151	189564	434002
152	190797	432723
153	192028	431440
154	193230	430093
155	194428	428740
156	195714	427580
157	196986	426387
158	198237	425151
159	199466	423865
160	200745	422688
161	202007	421471
162	203251	420218
163	204497	418970
164	205782	417800
165	207041	416578
166	208309	415370
167	209546	414103
168	210826	412920
169	212077	411679
170	213288	410362
171	214505	409057
172	215731	407770
173	216997	406558
174	218282	405382
175	219550	404172
176	220828	402981
177	222060	401705
178	223282	400411
179	224487	399088
180	225727	397829
181	227881	398166
182	229298	397199
183	230628	396079
184	232091	395182
185	233361	393953
186	234602	392676
187	235793	391316
188	236964	389926
189	238191	388628
190	239413	387323
191	240582	385933
192	241785	384601
193	242972	383245
194	244167	381903
195	245365	380566
196	246566	379236
197	247771	377913
198	248967	376579
199	250154	375231
200	251356	373907
201	252541	372560
202	253733	371225
203	254903	369860
204	256127	368573
205	257404	367363
206	258613	366057
207	259830	364762
208	261080	363514
209	262287	362206
210	263477	360877
211	264677	359561
212	265941	358334
213	267195	357092
214	268404	355791
215	269623	354504
216	270811	353177
217	272006	351862
218	273211	350559
219	274420	349262
220	275610	347942
221	276776	346594
222	277971	345283
223	279197	344010
224	280375	342681
225	281551	341349
226	282786	340091
227	284032	338845
228	285261	337580
229	286500	336326
230	287719	335049
231	288918	333750
232	290119	332454
233	291305	331142
234	292542	329888
235	293773	328628
236	294951	327309
237	296129	325991
238	297322	324690
239	298497	323372
240	299682	322065
241	300852	320744
242	302087	319492
243	303287	318202
244	304469	316897
245	305666	315607
246	306873	314328
247	308085	313054
248	309305	311789
249	310511	310511
250	311737	309253
251	312961	307993
252	314162	306712
253	315333	305401
254	316530	304117
255	317715	302822
256	318889	301518
257	320072	300223
258	321259	298932
259	322453	297649
260	323640	296360
261	324842	295085
262	326097	293859
263	327304	292590
264	328611	291410
265	329855	290173
266	331045	288890
267	332244	287614
268	333439	286336
269	334629	285055
270	335831	283784
271	337018	282500
272	338217	281228
273	339411	279952
274	340588	278663
275	341771	277379
276	343001	276134
277	344192	274858
278	345366	273569
279	346552	272291
280	347725	271003
281	348983	269781
282	350210	268535
283	351453	267302
284	352685	266061
285	353911	264814
286	355104	263544
287	356304	262279
288	357471	260991
289	358664	259722
290	359882	258472
291	361064	257196
292	362253	255926
293	363460	254669
294	364658	253406
295	365839	252132
296	367016	250856
297	368189	249578
298	369383	248314
299	370584	247056
300	371788	245800
301	372983	244538
302	374158	243264
303	375339	241995
304	376859	240943
305	378355	239872
306	379625	238657
307	380851	237413
308	382067	236164
309	383277	234911
310	384494	233663
311	385715	232418
312	386975	231196
313	388215	229961
314	389446	228722
315	390677	227483
316	391917	226248
317	393140	225005
318	394366	223762
319	395609	222530
320	396859	221301
321	398111	220074
322	399318	218821
323	400540	217577
324	401767	216336
325	402992	215094
326	404218	213852
327	405435	212606
328	406663	211366
329	407961	210162
330	409200	208927
331	410431	207688
332	411675	206455
333	412951	205239
334	414267	204042
335	415552	202829
336	416836	201615
337	418089	200386
338	419331	199151
339	420552	197907
340	421782	196666
341	423017	195429
342	424239	194185
343	425487	192953
344	426704	191707
345	427926	190464
346	429150	189221
347	430388	187985
348	431614	186744
349	432864	185513
350	434127	184287
351	435408	183069
352	436678	181846
353	438019	180652
354	439273	179421
355	440517	178186
356	441869	176995
357	443134	175768
358	444353	174523
359	445589	173284
360	446856	172058
361	448058	170806
362	449268	169558
363	450507	168321
364	451727	167077
365	452958	165837
366	454178	164593
367	455425	163359
368	456676	162126
369	457959	160904
370	459195	159666
371	460422	158424
372	461646	157182
373	462929	155960
374	464141	154713
375	465345	153465
376	466564	152221
377	467798	150982
378	469073	149757
379	470359	148534
380	471624	147305
381	472853	146064
382	474082	144824
383	475307	143582
384	476527	142339
385	477761	141100
386	478986	139859
387	480233	138624
388	481532	137403
389	482829	136182
390	484106	134955
391	485413	133736
392	486670	132503
393	487897	131261
394	489114	130017
395	490351	128779
396	491592	127541
397	492864	126312
398	494081	125068
399	495381	123845
400	496636	122611
401	497892	121376
402	499130	120138
403	500346	118894
404	501574	117653
405	502820	116416
406	504053	115176
407	505291	113938
408	506605	112716
409	507941	111499
410	509314	110289
411	510652	109071
412	512015	107858
413	513358	106639
414	514690	105418
415	516053	104203
416	517402	102984
417	518787	101771
418	520141	100552
419	521539	99340
420	522894	98120
421	524251	96899
422	525658	95687
423	527044	94470
424	528362	93240
425	529733	92019
426	531052	90788
427	532398	89562
428	533715	88330
429	535092	87108
430	536461	85883
431	537783	84651
432	539328	83452
433	540572	82206
434	541813	80960
435	543033	79711
436	544294	78468
437	545566	77226
438	546855	75986
439	548331	74772
440	549615	73531
441	550893	72289
442	552137	71042
443	553464	69806
444	555550	68663
445	556978	67436
446	558371	66205
447	559681	64962
448	561010	63722
449	562204	62467
450	563391	61211
451	564590	59956
452	565783	58701
453	567020	57451
454	568238	56199
455	569452	54947
456	570675	53695
457	571895	52444
458	573146	51196
459	574356	49944
460	575550	48690
461	576728	47436
462	577938	46185
463	579178	44936
464	580355	43682
465	581541	42430
466	582762	41180
467	583963	39929
468	585188	38679
469	586381	37428
470	587552	36176
471	588764	34926
472	589955	33676
473	591148	32425
474	592332	31175
475	593532	29926
476	594721	28676
477	595942	27428
478	597143	26179
479	598317	24929
480	599512	23681
481	600718	22433
482	601902	21184
483	603066	19936
484	604235	18687
485	605428	17440
486	606612	16192
487	607824	14946
488	609022	13699
489	610190	12452
490	611435	11207
491	612662	9961
492	613906	8716
493	615193	7471
494	616414	6226
495	617615	4980
496	618817	3735
497	620026	2490
498	621241	1244
499	622466	0
